1429.00
10
45898845
42678477
0 1 1 45 118.00 10 (D 0,1,1) (S 17,4,13) (S 19,1,7) (S 66,7,6) (S 49,9,4) (S 45,13,12) (S 5,6,6) (D 0,1,1)
0 1 2 32 127.00 9 (D 0,1,1) (S 28,27,29) (S 21,26,27) (S 44,18,19) (S 35,14,10) (S 50,18,21) (S 2,3,3) (S 1,2,2) (D 0,1,1)
0 1 3 33 155.00 11 (D 0,1,1) (S 24,19,21) (S 31,1,31) (S 42,19,18) (S 51,28,26) (S 48,31,5) (S 8,11,11) (S 3,4,4) (D 0,1,1)
0 1 4 45 141.00 10 (D 0,1,1) (S 26,2,8) (S 23,10,11) (S 43,1,30) (S 58,30,29) (S 59,26,28) (S 14,21,21) (D 0,1,1)
0 1 5 41 126.00 9 (D 0,1,1) (S 22,29,31) (S 18,23,24) (S 53,10,5) (S 65,15,14) (S 62,12,18) (S 7,10,10) (S 4,5,5) (D 0,1,1)
0 1 6 49 181.00 10 (D 0,1,1) (S 29,20,22) (S 27,24,27) (S 40,5,31) (S 46,7,8) (S 52,25,28) (S 9,12,12) (D 0,1,1)
0 1 7 48 146.00 9 (D 0,1,1) (S 32,13,19) (S 30,9,13) (S 54,3,2) (S 38,11,12) (S 63,29,28) (S 11,17,17) (D 0,1,1)
0 1 8 36 143.00 9 (D 0,1,1) (S 33,21,22) (S 55,6,5) (S 47,12,13) (S 34,2,1) (S 56,6,11) (S 12,18,18) (D 0,1,1)
0 1 9 47 141.00 10 (D 0,1,1) (S 20,3,4) (S 64,16,17) (S 41,17,11) (S 60,29,30) (S 57,14,15) (S 15,23,23) (D 0,1,1)
0 1 10 44 151.00 12 (D 0,1,1) (S 25,8,9) (S 61,30,1) (S 39,19,20) (S 36,10,16) (S 37,1,2) (S 16,28,28) (D 0,1,1)
