783.00
10
73794705
73126099
0 1 1 22 80.00 6 (D 0,1,1) (S 16,13,14) (S 23,8,9) (S 37,4,6) (S 32,13,15) (D 0,1,1)
0 1 2 12 65.00 8 (D 0,1,1) (S 17,1,24) (S 21,22,25) (S 29,12,13) (S 28,12,19) (S 13,27,27) (D 0,1,1)
0 1 3 27 88.00 8 (D 0,1,1) (S 18,1,17) (S 30,24,27) (S 43,21,22) (S 5,8,8) (S 2,5,5) (D 0,1,1)
0 1 4 22 94.00 6 (D 0,1,1) (S 14,3,8) (S 26,23,24) (S 44,3,4) (S 8,16,16) (D 0,1,1)
0 1 5 20 77.00 8 (D 0,1,1) (S 15,2,12) (S 22,1,15) (S 41,2,1) (S 11,21,21) (D 0,1,1)
0 1 6 24 103.00 7 (D 0,1,1) (S 19,4,10) (S 25,14,16) (S 24,5,6) (S 10,20,20) (D 0,1,1)
0 1 7 23 64.00 7 (D 0,1,1) (S 20,3,6) (S 35,6,10) (S 45,15,17) (S 6,10,10) (D 0,1,1)
0 1 8 23 58.00 5 (D 0,1,1) (S 42,18,21) (S 31,21,23) (S 34,26,27) (D 0,1,1)
0 1 9 22 92.00 6 (D 0,1,1) (S 39,22,23) (S 33,15,20) (S 38,18,25) (S 4,7,7) (D 0,1,1)
0 1 10 13 62.00 7 (D 0,1,1) (S 36,4,12) (S 27,1,3) (S 40,23,26) (S 12,25,25) (D 0,1,1)
