336.00
10
26757817
19244765
0 1 1 16 32.00 6 (D 0,1,1) (S 15,8,10) (S 19,5,8) (S 25,1,10) (D 0,1,1)
0 1 2 15 32.00 7 (D 0,1,1) (S 13,2,5) (S 37,1,3) (S 35,1,7) (D 0,1,1)
0 1 3 10 33.00 8 (D 0,1,1) (S 10,3,11) (S 21,7,11) (S 28,10,11) (S 4,5,5) (D 0,1,1)
0 1 4 25 39.00 7 (D 0,1,1) (S 11,1,8) (S 32,5,9) (S 36,4,6) (S 5,6,6) (D 0,1,1)
0 1 5 15 35.00 5 (D 0,1,1) (S 16,5,6) (S 18,3,4) (S 26,3,8) (D 0,1,1)
0 1 6 13 27.00 6 (D 0,1,1) (S 14,4,10) (S 22,3,7) (S 31,4,5) (D 0,1,1)
0 1 7 21 38.00 6 (D 0,1,1) (S 12,2,3) (S 20,6,7) (S 17,1,2) (D 0,1,1)
0 1 8 19 41.00 8 (D 0,1,1) (S 29,3,6) (S 34,1,9) (S 33,6,9) (S 6,7,7) (D 0,1,1)
0 1 9 18 32.00 7 (D 0,1,1) (S 24,1,6) (S 38,4,9) (S 27,6,11) (S 9,11,11) (D 0,1,1)
0 1 10 13 27.00 5 (D 0,1,1) (S 23,1,5) (S 30,5,10) (S 39,7,10) (D 0,1,1)
