791.00
10
27943415
25314675
0 1 1 23 77.00 7 (D 0,1,1) (S 19,26,27) (S 40,1,27) (S 38,6,7) (S 14,24,24) (D 0,1,1)
0 1 2 19 83.00 6 (D 0,1,1) (S 16,4,19) (S 22,21,25) (S 24,3,4) (S 6,8,8) (D 0,1,1)
0 1 3 27 108.00 6 (D 0,1,1) (S 18,21,23) (S 41,14,20) (S 36,5,6) (S 10,18,18) (D 0,1,1)
0 1 4 24 75.00 7 (D 0,1,1) (S 15,15,17) (S 31,1,15) (S 35,14,21) (S 7,13,13) (D 0,1,1)
0 1 5 19 67.00 6 (D 0,1,1) (S 20,6,8) (S 29,7,11) (S 25,1,17) (D 0,1,1)
0 1 6 16 65.00 8 (D 0,1,1) (S 17,12,19) (S 37,15,20) (S 30,23,26) (S 1,2,2) (D 0,1,1)
0 1 7 23 84.00 6 (D 0,1,1) (S 34,10,11) (S 33,20,21) (S 27,3,6) (S 11,19,19) (D 0,1,1)
0 1 8 25 75.00 6 (D 0,1,1) (S 26,18,21) (S 23,25,26) (S 8,14,14) (S 4,5,5) (D 0,1,1)
0 1 9 25 103.00 8 (D 0,1,1) (S 32,22,23) (S 21,12,13) (S 2,3,3) (S 9,16,16) (D 0,1,1)
0 1 10 7 54.00 5 (D 0,1,1) (S 28,22,25) (S 39,13,14) (S 12,21,21) (D 0,1,1)
