390.00
10
46666804
45981566
0 1 1 18 43.00 8 (D 0,1,1) (S 15,3,8) (S 35,1,5) (S 28,4,9) (S 43,6,9) (D 0,1,1)
0 1 2 23 46.00 9 (D 0,1,1) (S 10,5,10) (S 29,5,11) (S 33,1,4) (S 42,8,11) (S 2,3,3) (D 0,1,1)
0 1 3 25 46.00 8 (D 0,1,1) (S 12,9,10) (S 36,2,4) (S 22,8,9) (S 19,3,10) (D 0,1,1)
0 1 4 10 34.00 8 (D 0,1,1) (S 16,5,8) (S 41,1,3) (S 21,1,10) (S 26,7,10) (D 0,1,1)
0 1 5 25 48.00 7 (D 0,1,1) (S 14,6,10) (S 20,4,10) (S 23,7,9) (S 25,2,3) (D 0,1,1)
0 1 6 16 36.00 8 (D 0,1,1) (S 11,7,11) (S 18,5,7) (S 38,4,8) (S 8,9,9) (D 0,1,1)
0 1 7 22 36.00 5 (D 0,1,1) (S 17,5,6) (S 39,4,11) (S 31,2,8) (D 0,1,1)
0 1 8 16 31.00 6 (D 0,1,1) (S 13,10,11) (S 30,3,4) (S 32,4,5) (S 4,5,5) (D 0,1,1)
0 1 9 19 37.00 7 (D 0,1,1) (S 24,8,10) (S 44,2,10) (S 27,2,7) (D 0,1,1)
0 1 10 20 33.00 8 (D 0,1,1) (S 37,2,6) (S 40,3,7) (S 34,1,2) (S 7,8,8) (D 0,1,1)
