54883.00
29
106966612
102964070
0 1 1 1363 2082.00 6 (D 0,22,22) (S 33,18,19) (S 83,43,46) (S 80,42,43) (S 86,46,47) (D 0,22,22)
0 1 2 1483 2406.00 7 (D 0,22,22) (S 13,7,14) (S 27,14,24) (S 91,51,52) (S 77,40,41) (S 60,31,32) (D 0,22,22)
0 1 3 1371 2274.00 8 (D 0,22,22) (S 6,3,10) (S 29,15,20) (S 14,8,9) (S 17,9,19) (S 56,29,37) (S 71,37,38) (D 0,22,22)
0 1 4 1422 2147.00 7 (D 0,22,22) (S 39,20,29) (S 51,27,28) (S 57,29,38) (S 58,30,31) (S 44,23,24) (D 0,22,22)
0 1 5 1312 2138.00 6 (D 0,22,22) (S 4,2,9) (S 3,2,3) (S 18,10,11) (S 89,49,50) (D 0,22,22)
0 1 6 1237 1945.00 5 (D 0,22,22) (S 2,1,8) (S 16,9,10) (S 70,36,37) (D 0,22,22)
0 1 7 1451 2038.00 5 (D 0,22,22) (S 65,33,42) (S 66,34,35) (S 64,33,34) (D 0,22,22)
0 1 8 1366 2020.00 7 (D 0,22,22) (S 22,11,17) (S 31,16,21) (S 20,10,16) (S 5,3,4) (S 23,12,13) (D 0,22,22)
0 1 9 1327 2281.00 8 (D 0,22,22) (S 47,25,26) (S 84,44,47) (S 48,25,33) (S 68,35,36) (S 45,23,31) (D 0,22,22)
0 1 10 1521 2170.00 6 (D 0,22,22) (S 69,35,44) (S 87,47,48) (S 88,48,49) (S 76,39,50) (D 0,22,22)
0 1 11 1293 1780.00 5 (D 0,22,22) (S 46,24,32) (S 63,32,41) (S 79,41,52) (D 0,22,22)
0 1 12 1346 1938.00 5 (D 0,22,22) (S 52,27,36) (S 72,37,48) (S 90,50,51) (D 0,22,22)
0 1 13 1187 1752.00 5 (D 0,22,22) (S 8,4,11) (S 7,4,5) (S 11,6,7) (D 0,22,22)
0 1 14 1215 1696.00 5 (D 0,22,22) (S 21,11,12) (S 10,5,12) (S 12,6,13) (D 0,22,22)
0 1 15 1369 1946.00 5 (D 0,22,22) (S 30,16,17) (S 36,19,26) (S 82,43,44) (D 0,22,22)
0 1 16 1088 1602.00 4 (D 0,22,22) (S 15,8,18) (S 34,18,25) (D 0,22,22)
0 1 17 1512 2102.00 6 (D 0,22,22) (S 41,21,29) (S 53,28,29) (S 55,29,30) (S 38,20,28) (D 0,22,22)
0 1 18 1309 1793.00 6 (D 0,22,22) (S 32,17,21) (S 43,22,30) (S 78,40,51) (D 0,22,22)
0 1 19 1253 1773.00 4 (D 0,22,22) (S 67,34,43) (S 81,42,45) (D 0,22,22)
0 1 20 1384 1800.00 6 (D 0,22,22) (S 24,12,22) (S 28,15,16) (S 19,10,15) (D 0,22,22)
0 1 21 984 1399.00 4 (D 0,22,22) (S 61,31,40) (S 62,32,40) (D 0,22,22)
0 1 22 1188 1566.00 4 (D 0,22,22) (S 73,38,39) (S 75,39,40) (D 0,22,22)
0 1 23 1256 1766.00 4 (D 0,22,22) (S 49,26,27) (S 74,38,49) (D 0,22,22)
0 1 24 1388 1952.00 4 (D 0,22,22) (S 50,26,35) (S 85,45,46) (D 0,22,22)
0 1 25 1183 1484.00 5 (D 0,22,22) (S 40,21,22) (S 59,30,39) (D 0,22,22)
0 1 26 1244 1821.00 4 (D 0,22,22) (S 37,20,21) (S 1,1,2) (D 0,22,22)
0 1 27 1244 1689.00 4 (D 0,22,22) (S 25,13,14) (S 9,5,6) (D 0,22,22)
0 1 28 1308 1604.00 5 (D 0,22,22) (S 26,13,23) (S 42,22,23) (D 0,22,22)
0 1 29 1484 1919.00 4 (D 0,22,22) (S 35,19,20) (S 54,28,37) (D 0,22,22)
