1005.00
10
31149555
28473629
0 1 1 26 104.00 7 (D 0,1,1) (S 17,3,8) (S 39,22,25) (S 35,21,22) (S 7,15,15) (D 0,1,1)
0 1 2 19 131.00 9 (D 0,1,1) (S 14,7,11) (S 28,1,27) (S 27,3,4) (S 10,21,21) (D 0,1,1)
0 1 3 25 75.00 7 (D 0,1,1) (S 15,1,19) (S 21,23,24) (S 29,5,6) (D 0,1,1)
0 1 4 22 119.00 8 (D 0,1,1) (S 18,14,16) (S 24,6,9) (S 25,26,27) (S 11,23,23) (D 0,1,1)
0 1 5 23 118.00 8 (D 0,1,1) (S 19,6,10) (S 36,21,23) (S 22,1,17) (S 13,25,25) (D 0,1,1)
0 1 6 24 102.00 8 (D 0,1,1) (S 16,20,21) (S 23,15,20) (S 20,3,6) (S 1,2,2) (D 0,1,1)
0 1 7 21 109.00 8 (D 0,1,1) (S 38,10,11) (S 31,1,3) (S 32,13,15) (S 8,16,16) (D 0,1,1)
0 1 8 27 113.00 8 (D 0,1,1) (S 33,22,23) (S 37,6,8) (S 3,6,6) (S 9,18,18) (D 0,1,1)
0 1 9 18 65.00 7 (D 0,1,1) (S 30,5,9) (S 40,4,5) (S 2,4,4) (S 4,12,12) (D 0,1,1)
0 1 10 15 69.00 6 (D 0,1,1) (S 26,8,9) (S 34,4,6) (S 5,13,13) (D 0,1,1)
